date,co2
1959/1/1,315.42
1959/2/1,316.31
1959/3/1,316.5
1959/4/1,317.56
1959/5/1,318.13
1959/6/1,318
1959/7/1,316.39
1959/8/1,314.65
1959/9/1,313.68
1959/10/1,313.18
1959/11/1,314.66
1959/12/1,315.43
1960/1/1,316.27
1960/2/1,316.81
1960/3/1,317.42
1960/4/1,318.87
1960/5/1,319.87
1960/6/1,319.43
1960/7/1,318.01
1960/8/1,315.74
1960/9/1,314
1960/10/1,313.68
1960/11/1,314.84
1960/12/1,316.03
1961/1/1,316.73
1961/2/1,317.54
1961/3/1,318.38
1961/4/1,319.31
1961/5/1,320.42
1961/6/1,319.61
1961/7/1,318.42
1961/8/1,316.63
1961/9/1,314.83
1961/10/1,315.16
1961/11/1,315.94
1961/12/1,316.85
1962/1/1,317.78
1962/2/1,318.4
1962/3/1,319.53
1962/4/1,320.42
1962/5/1,320.85
1962/6/1,320.45
1962/7/1,319.45
1962/8/1,317.25
1962/9/1,316.11
1962/10/1,315.27
1962/11/1,316.53
1962/12/1,317.53
1963/1/1,318.58
1963/2/1,318.92
1963/3/1,319.7
1963/4/1,321.22
1963/5/1,322.08
1963/6/1,321.31
1963/7/1,319.58
1963/8/1,317.61
1963/9/1,316.05
1963/10/1,315.83
1963/11/1,316.91
1963/12/1,318.2
1964/1/1,319.41
1964/2/1,320.07
1964/3/1,320.74
1964/4/1,321.4
1964/5/1,322.06
1964/6/1,321.73
1964/7/1,320.27
1964/8/1,318.54
1964/9/1,316.54
1964/10/1,316.71
1964/11/1,317.53
1964/12/1,318.55
1965/1/1,319.27
1965/2/1,320.28
1965/3/1,320.73
1965/4/1,321.97
1965/5/1,322
1965/6/1,321.71
1965/7/1,321.05
1965/8/1,318.71
1965/9/1,317.66
1965/10/1,317.14
1965/11/1,318.7
1965/12/1,319.25
1966/1/1,320.46
1966/2/1,321.43
1966/3/1,322.23
1966/4/1,323.54
1966/5/1,323.91
1966/6/1,323.59
1966/7/1,322.24
1966/8/1,320.2
1966/9/1,318.48
1966/10/1,317.94
1966/11/1,319.63
1966/12/1,320.87
1967/1/1,322.17
1967/2/1,322.34
1967/3/1,322.88
1967/4/1,324.25
1967/5/1,324.83
1967/6/1,323.93
1967/7/1,322.38
1967/8/1,320.76
1967/9/1,319.1
1967/10/1,319.24
1967/11/1,320.56
1967/12/1,321.8
1968/1/1,322.4
1968/2/1,322.99
1968/3/1,323.73
1968/4/1,324.86
1968/5/1,325.4
1968/6/1,325.2
1968/7/1,323.98
1968/8/1,321.95
1968/9/1,320.18
1968/10/1,320.09
1968/11/1,321.16
1968/12/1,322.74
1969/1/1,323.83
1969/2/1,324.26
1969/3/1,325.47
1969/4/1,326.5
1969/5/1,327.21
1969/6/1,326.54
1969/7/1,325.72
1969/8/1,323.5
1969/9/1,322.22
1969/10/1,321.62
1969/11/1,322.69
1969/12/1,323.95
1970/1/1,324.89
1970/2/1,325.82
1970/3/1,326.77
1970/4/1,327.97
1970/5/1,327.91
1970/6/1,327.5
1970/7/1,326.18
1970/8/1,324.53
1970/9/1,322.93
1970/10/1,322.9
